🇨🇳［财经］,#genre# 
半岛新闻 (1080P),https://live-hls-web-aje.getaj.net/AJE/01.m3u8,tvming-NULL
CNN USA,https://tve-live-lln.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_3_1464000.m3u8#https://tve-live-lln.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_4_1064000.m3u8#https://tve-live-lln.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_2_1964000.m3u8#https://tve-live-lln.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8#https://cnn-cnninternational-1-gb.samsung.wurl.com:443/manifest/playlist_1280x720_3000k.m3u8#http://line.premiumpowers.net:80/Manuel/1234567/941690,tvming-NULL
BBC NEWS,https://cdnuk001.broadcastcdn.net/KUK-BBCNEWSHD/index.m3u8,tvming-NULL
NATIONAL GEOGRAPHY,https://admdn2.cdn.mangomolo.com/nagtv/smil:nagtv.stream.smil/playlist.m3u8,tvming-NULL
探索频道HD,http://pull-l3-cny.douyincdn.com/live/34633761735b6c677356a7c551f89888.m3u8,tvming-NULL
HISTORY,http://abc123.digital:8080/Deacon68/uFHfwNRuHH/488026#http://line.premiumpowers.net:80/Manuel/1234567/941661,tvming-NULL


🇨🇳［纪实］,#genre# 
NATIONAL GEOGRAPHY,https://admdn2.cdn.mangomolo.com/nagtv/smil:nagtv.stream.smil/playlist.m3u8,tvming-NULL
探索频道HD,http://pull-l3-cny.douyincdn.com/live/34633761735b6c677356a7c551f89888.m3u8,tvming-NULL
HISTORY,http://abc123.digital:8080/Deacon68/uFHfwNRuHH/488026#http://line.premiumpowers.net:80/Manuel/1234567/941661,tvming-NULL
上海纪实人文,http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225609/index.m3u8?fmt=ts2hls?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001330/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225655/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225654/index.m3u8?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225946/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227213/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226923/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil,tvming-NULL
湖南金鹰纪实,http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225595/index.m3u8?fmt=ts2hls?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001699/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226937/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226975/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil,tvming-HuNanJiShi
CGTN纪录高清,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000000002000000028012/main.m3u8?IASHttpSessionId=OTT,tvming-NULL
求索动物,http://111.11.123.30:6610/000000001000/6000000002000010046/1.m3u8?Contentid=6000000002000010046&livemode=1&stbId=3&channel-id=wasusyt#http://111.11.123.33:6610/000000001000/6000000002000010046/1.m3u8?Contentid=6000000002000010046&livemode=1&stbId=3&channel-id=wasusyt#http://111.11.123.36:6610/000000001000/6000000002000010046/1.m3u8?Contentid=6000000002000010046&livemode=1&stbId=3&channel-id=wasusyt,tvming-NULL
求索纪录,http://111.11.123.30:6610/000000001000/6000000002000032052/1.m3u8?Contentid=6000000002000032052&livemode=1&stbId=3&channel-id=wasusyt#http://111.11.123.33:6610/000000001000/6000000002000032052/1.m3u8?Contentid=6000000002000032052&livemode=1&stbId=3&channel-id=wasusyt#http://111.11.123.36:6610/000000001000/6000000002000032052/1.m3u8?Contentid=6000000002000032052&livemode=1&stbId=3&channel-id=wasusyt,tvming-NULL
求索科学,http://111.11.123.30:6610/000000001000/6000000002000032344/1.m3u8?Contentid=6000000002000032344&livemode=1&stbId=3&channel-id=wasusyt#http://111.11.123.36:6610/000000001000/6000000002000032344/1.m3u8?Contentid=6000000002000032344&livemode=1&stbId=3&channel-id=wasusyt#http://111.11.123.33:6610/000000001000/6000000002000032344/1.m3u8?Contentid=6000000002000032344&livemode=1&stbId=3&channel-id=wasusyt,tvming-NULL
求索生活,http://111.11.123.30:6610/000000001000/6000000002000003382/1.m3u8?Contentid=6000000002000003382&livemode=1&stbId=3&channel-id=wasusyt#http://111.11.123.33:6610/000000001000/6000000002000003382/1.m3u8?Contentid=6000000002000003382&livemode=1&stbId=3&channel-id=wasusyt#http://111.11.123.36:6610/000000001000/6000000002000003382/1.m3u8?Contentid=6000000002000003382&livemode=1&stbId=3&channel-id=wasusyt,tvming-NULL

🇨🇳［央视］,#genre#
CCTV1高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225922/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225812/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227014/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226995/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225829/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226908/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226624/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225762/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225618/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225918/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225501/index.m3u8?fmt=ts2hls?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225642/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV2高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226795/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226915/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225923/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225800/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225619/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225500/index.m3u8?fmt=ts2hls?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225643/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV3高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227055/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227256/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225647/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225634/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV4高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225802/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001333/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227225/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226968/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225621/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV4KSDR,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226998/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil,tvming-NULL
CCTV5+高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225939/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001008/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001592/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226919/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225821/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225649/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225706/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV5高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225886/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227170/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227229/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225633/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV6高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227260/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227137/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000054/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225650/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225632/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV7高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225805/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226972/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225927/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000055/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225624/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225499/index.m3u8?fmt=ts2hls?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225644/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV8高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227266/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227174/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000056/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225635/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225631/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV9高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225820/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225929/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000057/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225626/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225646/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV10高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225931/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001288/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226976/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225814/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000058/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225627/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225496/index.m3u8?fmt=ts2hls?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225636/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV11高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225815/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226927/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227233/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001019000000352943/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225628/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV12高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225932/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001289/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226931/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225816/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000060/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225495/index.m3u8?fmt=ts2hls?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225637/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV13高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227237/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225817/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226985/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000000045000000287929/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225638/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV14高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225933/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001292/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225819/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227086/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000059/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225639/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225494/index.m3u8?fmt=ts2hls?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225640/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV15高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226989/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227270/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221225818/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001019000000352948/main.m3u8?IASHttpSessionId=OTT#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225641/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV16高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227125/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227162/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221227148/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221226230/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221226233/index.m3u8?/PLTV/.smil,tvming-NULL
CCTV17高清,http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226990/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001295/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://[2409:8087:3428:20:500::100f]:6610/TVOD/88888888/224/3221226986/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225907/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225908/index.m3u8?/PLTV/.smil#http://[2409:8087:3869:8021:1001::e5]:6610/TVOD/88888910/224/3221225909/index.m3u8?/PLTV/.smil,tvming-NULL
